product_number,name,unit,source_field_name,source_qid,source_label
100106-1,"HD plastposer, 60x60 cm, naturel.",stk,binlinePoser123,123,"HD plastposer, 60x60 cm, naturel. Varenr. 100106-1"
100297,"Tork Premium Soft 4fold H2 xpress.",stk,torkPremium,118,"Tork Premium Soft 4fold H2 xpress. Varenr. 100297"
100495,"Håndopvask mild 10 svanemærket .",stk,filtersaltGrov,114,"Håndopvask mild 10 svanemærket . Varenr. 100495"
100496,"Prime Source Mild 10, Håndopvask uden parfume",stk,primeSource,165,"Prime Source Mild 10, Håndopvask uden parfume - Varenr. 100496"
100585,"Håndklædeark, Tork PeakServe Continuos.",stk,handklaedearkTork,166,"Håndklædeark, Tork PeakServe Continuos. Varenr. 100585"
101104132,"Cif Skurecreme, 750 ml.",ml,cifSkurecreme,66,"Cif Skurecreme, 750 ml. Varenr. 101104132"
10193,"Faxe trærens.",stk,monelFloorcleaner,143,"Faxe trærens. Varenr. 10193"
110405/6,"Toiletpapir, Tork Extra Soft Premium, 4-lags.",stk,toiletpapirTork,155,"Toiletpapir, Tork Extra Soft Premium, 4-lags. - Varenr. 110405/6"
1111112-TMG,"TMG WC rens og kalkfjerner, 0,75l",ltr,tmgWc,170,"TMG WC rens og kalkfjerner, 0,75l - varenr. 1111112-TMG"
11111292,"Total Luksus Cremesæbe 5L.",ltr,handopvaskMild,115,"Total Luksus Cremesæbe 5L. Varenr. 11111292"
11737,"Filtersalt Grov OPVASK 2KG .",kg,totalAfspaending,113,"Filtersalt Grov OPVASK 2KG . Varenr. 11737"
117542,"Toiletpapir Luksus 2-lag 30m",m,toiletpapirLuksus161,161,"Toiletpapir Luksus 2-lag 30m - Varenr. 117542"
120145,"Køkkenrulle luksus, 2-lags 18 meter (32 ruller).",m,toiletpapirLuksus,120,"Køkkenrulle luksus, 2-lags 18 meter (32 ruller). Varenr. 120145"
120398,"Tork XpTork Xpress Soft Z-fold håndklædeark, H2, 2 lags",stk,torkXptork,156,"Tork XpTork Xpress Soft Z-fold håndklædeark, H2, 2 lags - Varenr. 120398"
125326,"Affladssæk klar.",stk,affladssaekKlar,110,"Affladssæk klar. Varenr. 125326"
127530,"Tork Advance Compact T6, 2-lags, Hvid, 100 meter vare",m,torkAdvance,151,"Tork Advance Compact T6, 2-lags, Hvid, 100 meter vare - Varenr. 127530"
1320,"Binline Poser, 3L.",ltr,binlinePoser154,154,"Binline Poser, 3L. Varenr. 1320"
1321,"Binline Poser, 5L.",ltr,binlinePoser,141,"Binline Poser, 5L. Varenr. 1321"
1322,"Binline Poser, 15L.",ltr,binlinePoser128,128,"Binline Poser, 15L. Varenr. 1322"
1323,"Binline poser 20 L.",ltr,binlinePoser109,109,"Binline poser 20 L. Varenr. 1323"
1324,"Binline poser 30 L.",ltr,binlinePoser142,142,"Binline poser 30 L. Varenr. 1324"
1408618000,"Nilfisk Støvsugerposer 10L.",ltr,barrierecremeSkincare,75,"Nilfisk Støvsugerposer 10L. Varenr. 1408618000"
150-1,"Skuresvamp gul m/ blå nylon.",stk,skuresvampGul,71,"Skuresvamp gul m/ blå nylon. Varenr. 150-1"
199601,"Madame poser m/ kunstmotiv.",stk,madamePoser,121,"Madame poser m/ kunstmotiv. Varenr. 199601"
1999913977,"Poser LD Madaffaldspose, grøn",stk,poserLd160,160,"Poser LD Madaffaldspose, grøn - Varenr. 1999913977"
20350,"Vaskepulver svanemærket 10kg",kg,vaskepulverSvanemaerket,163,"Vaskepulver svanemærket 10kg - Varenr. 20350"
21703,"Forstøverhoved til tom sprayflaske 750 ml.",ml,forstoverhovedTil,81,"Forstøverhoved til tom sprayflaske 750 ml. Varenr. 21703"
22897,"Håndsæbe - Hand Soap Olive & Cucumber - 500ml.",ml,handsaebe,139,"Håndsæbe - Hand Soap Olive & Cucumber - 500ml. Varenr. 22897"
23,"Monel Floorcleaner (til linolium), 1L.",ltr,cifSkurecreme134,134,"Monel Floorcleaner (til linolium), 1L. Varenr. 23"
25041,"Golden Nectar Håndsæbe 500 ml.",ml,goldenNectar,174,"Golden Nectar Håndsæbe 500 ml. - Varenr. 25041"
25767,"Professional Miraclean Lux melamin svamp - Komprimeret.",stk,skuresvampGul72,72,"Professional Miraclean Lux melamin svamp - Komprimeret. Varenr. 25767"
290067,"Tork Hånklæderulle, H1 matic Soft Advanced",stk,torkHanklaederulle,149,"Tork Hånklæderulle, H1 matic Soft Advanced - Varenr. 290067"
30977024,"Meraki Hand lotion, 270 ml, Linen Dew.",ml,merakiHand131,131,"Meraki Hand lotion, 270 ml, Linen Dew. Varenr. 30977024"
